record_id,signal_type,start_kmer_idx,end_kmer_idx,start_base,end_base,run_kmer_len,scale_used,mean_atcg
chr20q,strong,423,423,423,442,1,345.0,2.3333333333333335
chr20q,strong,628,628,628,647,1,345.0,2.3333333333333335
chr20q,strong,860,860,860,879,1,345.0,1.6666666666666667
chr20q,strong,14172,14172,14172,14191,1,345.0,1.5
chr20q,strong,28243,28243,28243,28262,1,345.0,1.8571428571428572
chr20q,strong,28448,28448,28448,28467,1,345.0,1.5
chr20q,strong,28664,28664,28664,28683,1,345.0,1.8571428571428572
chr20q,strong,28869,28869,28869,28888,1,345.0,1.3529411764705883
chr20q,strong,30849,30849,30849,30868,1,345.0,1.6666666666666667
chr20q,strong,31081,31081,31081,31100,1,345.0,1.105263157894737
chr20q,strong,34433,34433,34433,34452,1,345.0,1.3529411764705883
chr20q,strong,34665,34665,34665,34684,1,345.0,1.8571428571428572
chr20q,strong,34865,34865,34865,34884,1,345.0,1.8571428571428572
chr20q,strong,36019,36019,36019,36038,1,345.0,1.6666666666666667
chr20q,strong,36224,36224,36224,36243,1,345.0,1.8571428571428572
chr20q,strong,36415,36415,36415,36434,1,345.0,1.6666666666666667
chr20q,strong,36647,36647,36647,36666,1,345.0,1.105263157894737
chr20q,strong,45579,45579,45579,45598,1,345.0,1.6666666666666667
chr20q,strong,45784,45784,45784,45803,1,345.0,1.0
chr20q,strong,55043,55043,55043,55062,1,345.0,1.6666666666666667
chr20q,strong,57974,57974,57974,57993,1,345.0,1.8571428571428572
chr20q,strong,58469,58469,58469,58488,1,345.0,2.076923076923077
chr20q,strong,64937,64937,64937,64956,1,345.0,1.8571428571428572
chr20q,strong,80251,80251,80251,80270,1,345.0,1.5
chr20q,strong,80483,80483,80483,80502,1,345.0,2.076923076923077
chr20q,strong,80715,80715,80715,80734,1,345.0,1.5
chr20q,strong,80941,80941,80941,80960,1,345.0,1.6666666666666667
chr20q,strong,86810,86810,86810,86829,1,345.0,1.8571428571428572
chr20q,strong,87651,87651,87651,87670,1,345.0,3.0
chr20q,strong,88552,88552,88552,88571,1,345.0,2.076923076923077
chr20q,strong,88784,88784,88784,88803,1,345.0,1.3529411764705883
chr20q,strong,98704,98704,98704,98723,1,345.0,2.3333333333333335
chr20q,strong,98904,98904,98904,98923,1,345.0,1.8571428571428572
chr20q,strong,103808,103808,103808,103827,1,345.0,1.8571428571428572
chr20q,strong,104040,104067,104040,104086,28,345.0,2.1256124827553395
chr20q,strong,104320,104320,104320,104339,1,345.0,1.6666666666666667
chr20q,strong,116229,116229,116229,116248,1,345.0,2.3333333333333335
chr20q,strong,116429,116429,116429,116448,1,345.0,1.8571428571428572
chr20q,strong,130079,130079,130079,130098,1,345.0,2.3333333333333335
chr20q,strong,130279,130279,130279,130298,1,345.0,1.8571428571428572
chr20q,strong,145440,145440,145440,145459,1,345.0,1.8571428571428572
chr20q,strong,146575,146575,146575,146594,1,345.0,1.6666666666666667
chr20q,strong,146780,146780,146780,146799,1,345.0,1.5
chr20q,strong,146975,146975,146975,146994,1,345.0,1.8571428571428572
chr20q,strong,158905,158905,158905,158924,1,345.0,1.8571428571428572
chr20q,strong,160240,160240,160240,160259,1,345.0,2.076923076923077
chr20q,strong,160440,160440,160440,160459,1,345.0,1.8571428571428572
chr20q,strong,162959,162959,162959,162978,1,345.0,2.3333333333333335
chr20q,strong,163159,163159,163159,163178,1,345.0,1.8571428571428572
chr20q,strong,167860,167860,167860,167879,1,345.0,1.8571428571428572
chr20q,strong,168060,168060,168060,168079,1,345.0,1.8571428571428572
chr20q,strong,168244,168244,168244,168263,1,345.0,1.8571428571428572
chr20q,strong,177671,177671,177671,177690,1,345.0,2.3333333333333335
chr20q,strong,181428,181428,181428,181447,1,345.0,1.8571428571428572
chr20q,strong,181633,181633,181633,181652,1,345.0,1.8571428571428572
chr20q,strong,181838,181838,181838,181857,1,345.0,1.6666666666666667
chr20q,strong,189040,189040,189040,189059,1,345.0,1.2222222222222223
chr20q,strong,189245,189245,189245,189264,1,345.0,2.076923076923077
chr20q,strong,196900,196911,196900,196930,12,345.0,1.965659340659341
chr20q,strong,206652,206652,206652,206671,1,345.0,1.5
chr20q,strong,206843,206843,206843,206862,1,345.0,1.6666666666666667
chr20q,strong,210737,210737,210737,210756,1,345.0,1.8571428571428572
chr20q,strong,214678,214678,214678,214697,1,345.0,1.5
chr20q,strong,217060,217060,217060,217079,1,345.0,2.076923076923077
chr20q,strong,241818,241818,241818,241837,1,345.0,1.6666666666666667
chr20q,strong,242023,242023,242023,242042,1,345.0,2.6363636363636362
chr20q,strong,242224,242224,242224,242243,1,345.0,1.6666666666666667
chr20q,strong,244265,244265,244265,244284,1,345.0,2.076923076923077
chr20q,strong,248067,248067,248067,248086,1,345.0,2.076923076923077
chr20q,strong,248272,248272,248272,248291,1,345.0,2.6363636363636362
chr20q,strong,250036,250036,250036,250055,1,345.0,1.6666666666666667
chr20q,strong,250241,250241,250241,250260,1,345.0,2.6363636363636362
chr20q,strong,250442,250442,250442,250461,1,345.0,1.6666666666666667
chr20q,strong,252483,252483,252483,252502,1,345.0,2.076923076923077
chr20q,strong,252693,252693,252693,252712,1,345.0,1.5
chr20q,strong,253689,253689,253689,253708,1,345.0,2.3333333333333335
chr20q,strong,253921,253921,253921,253940,1,345.0,2.3333333333333335
chr20q,strong,255530,255530,255530,255549,1,345.0,2.3333333333333335
chr20q,strong,258395,258395,258395,258414,1,345.0,2.3333333333333335
chr20q,strong,262595,262595,262595,262614,1,345.0,2.076923076923077
chr20q,strong,262821,262821,262821,262840,1,345.0,1.6666666666666667
chr20q,strong,263026,263026,263026,263045,1,345.0,1.6666666666666667
chr20q,strong,263221,263221,263221,263240,1,345.0,2.076923076923077
chr20q,strong,266916,266916,266916,266935,1,345.0,2.076923076923077
chr20q,strong,269650,269650,269650,269669,1,345.0,2.076923076923077
chr20q,strong,271131,271131,271131,271150,1,345.0,2.3333333333333335
chr20q,strong,272440,272440,272440,272459,1,345.0,1.8571428571428572
chr20q,strong,272645,272645,272645,272664,1,345.0,1.2222222222222223
chr20q,strong,275949,275949,275949,275968,1,345.0,2.076923076923077
chr20q,strong,278944,278944,278944,278963,1,345.0,1.2222222222222223
chr20q,strong,283280,283317,283280,283336,38,345.0,1.5193673037081867
chr20q,strong,283522,283522,283522,283541,1,345.0,1.6666666666666667
